id,PLOT,Crop Type,Variety,Sampling time,Lat,Lon
1,P1S1,maize,NK6410,,18.05559,120.55417
2,P1S2,maize,NK6410,,18.05577,120.55391
3,P2S1,maize,PIONEER,,18.0501,120.54316
4,P2S2,maize,PIONEER,,18.05028,120.54327
5,P3S1,maize,NK6130,,18.04974,120.54239
6,P3S2,maize,NK6130,,18.04967,120.54256
7,P3S3,maize,NK6130,,18.04951,120.54244
8,P4S1,maize,NK6410,,18.04877,120.54283
9,P4S2,maize,NK6130,,18.04881,120.54262
10,P4S3,maize,NK6410,,18.04879,120.54221
11,P5S1,maize,PIONEER,,18.04745,120.5426
11,P5S2,maize,NK6410,,18.04725,12054256
11,P5S3,maize,PIONEER,,18.04707,12054246
12,P7S1,maize,NK8840,,18.04654,120.54739
13,P7S2,maize,NK8840,,18.04628,120.54725
14,P7S3,maize,NK8840,,18.04602,120.5471
15,P8S1,maize,NK8840,,18.04741,120.54692
16,P8S2,maize,NK8840,,18.04698,120.54655
17,P8S3,maize,NK8840,,18.04677,120.54673
18,P9S1,maize,glutinous white,,18.04604,120.54916
19,P9S2,maize,glutinous white,,18.04601,120.54906
20,P9S3,maize,glutinous white,,18.04586,120.54911
21,P10S1,maize,glutinous white,,18.04546,120.54876
22,P10S2,maize,glutinous white,,18.04529,120.54867
23,P10S3,maize,glutinous white,,18.04516,120.54859
24,P11S1,maize,NK6410,,18.04647,120.54844
25,P11S2,maize,NK6410,,18.04614,120.54839
26,P11S3,maize,NK6410,,18.04604,120.54816
27,P12S1,maize,NK6130,,18.04521,120.54776
28,P12S2,maize,NK6130,,18.04532,120.54754
28,P12S3,maize,NK6130,,18.04539,120.54759
29,P14S1,maize,DEKALB 6919,,18.0541,120.543
30,P14S2,maize,DEKALB 6919,,18.05396,120.54296
31,P14S3,maize,DEKALB 6919,,18.05417,120.54259
32,P15S1,maize,NK6130,,18.05332,120.54257
33,P15S2,maize,NK6130,,18.05338,120.54236
34,P15S3,maize,NK6130,,18.05315,120.54241
35,P16S1,maize,NK6410,,18.0531,120.54241
36,P16S2,maize,NK6410,,18.05313,120.54096
37,P16S3,maize,NK6410,,18.0532,120.54078
38,P17S1,maize,NK8840,,18.0535,120.54093
39,P17S2,maize,NK8840,,18.0535,120.54079
40,P17S3,maize,NK8840,,18.05356,120.5406
