FIELD,PLOT,PLANT SAMPLE,CODE,Lat,Lon,Length,Width,Plant Spacing,Row Spacing,Soil Type,Soil Moisture,Soil Temperature,Plant Height
P1,S1,1,P1S1-1,18°03.374,120°33.246,10,10,3.96,3.25,Clay,0.06,32.4,2.07
P1,S1,2,P1S1-2,18°03.338,120°33.246,10,10,3.96,3.25,Clay,0.12,35,2.17
P1,S1,3,P1S1-3,18°03.333,120°33.244,10,10,3.96,3.25,Clay,0.23,35.8,2.09
P1,S2,1,P1S2-1,18°03.342,120°33.235,10,10,2.5,3.03,Clay,0.11,37.1,2.32
P1,S2,2,P1S2-2,18°03.347,120°33.232,10,10,2.5,3.03,Clay,0.1,36.4,2.55
P1,S2,3,P1S2-3,18°03.345,120°33.234,10,10,2.5,3.03,Clay,0.11,36.2,2.3
P2,S1,1,P2S1-1,18°03.006,120°33.590,10,10,3.42,3.21,Clay,0.21,33.1,2.02
P2,S1,2,P2S1-2,18°03.003,120°33.591,10,10,3.42,3.21,Clay,0.17,33.5,1.84
P2,S1,3,P2S1-3,18°03.999,120°33.593,10,10,3.42,3.21,Clay,0.14,33.5,1.89
P2,S2,1,P2S2-1,18°03.011,120°33.600,10,10,3,3.12,Clay,0.4,33.5,1.94
P2,S2,2,P2S2-2,18°03.019,120°33.598,10,10,3,3.12,Clay,0.37,33.3,2.12
P2,S2,3,P2S2-3,18°03.017,120°33.608,10,10,3,3.12,Clay,0.26,32.7,2.01
P3,S1,1,P3S1-1,18°02.992,120°33.561,10,10,3.07,3.55,Clay,0.13,30.5,2.12
P3,S1,2,P3S1-2,18°02.991,120°33.558,10,10,3.07,3.55,Clay,0.19,30.6,2.12
P3,S1,3,P3S1-3,18°02.990,120°33.555,10,10,3.07,3.55,Clay,0.28,31.5,2.09
P3,S2,1,P3S2-1,18°02.980,120°33.569,10,10,3.2,3.55,Clay,0.13,32.3,2.3
P3,S2,2,P3S2-2,18°02.978,120°33.565,10,10,3.2,3.55,Clay,0.16,32.8,2.28
P3,S2,3,P3S2-3,18°02.979,120°33.562,10,10,3.2,3.55,Clay,0.12,32.9,2.34
P3,S3,1,P3S3-1,18°02.968,120°33.571,10,10,3.53,3.6,Clay,0.14,33,1.92
P3,S3,2,P3S3-2,18°02.967,120°33.568,10,10,3.53,3.6,Clay,0.13,33.9,1.96
P3,S3,3,P3S3-3,18°02.965,120°33.564,10,10,3.53,3.6,Clay,0.15,33.2,1.63
P4,S1,1,P4S1-1,18°02.941,120°33.569,10,10,3.49,3.64,Clay,0.14,35.1,2.44
P4,S1,2,P4S1-2,18°02.937,120°33.569,10,10,3.49,3.64,Clay,0.14,35.3,2.64
P4,S1,3,P4S1-3,18°02.935,120°33.570,10,10,3.49,3.64,Clay,0.24,35.5,2.57
P4,S2,1,P4S2-1,18°03.921,120°33.568,10,10,3.26,3.42,Clay,0.09,33.4,2.55
P4,S2,2,P4S2-2,18°03.924,120°33.565,10,10,3.26,3.42,Clay,0.14,33.3,2.69
P4,S2,3,P4S2-3,18°03.928,120°33.569,10,10,3.26,3.42,Clay,0.15,32.9,2.56
P4,S3,1,P4S2-1,18°02.434,120°33.555,10,10,3.75,3.5,Clay,0.13,33.9,2.49
P4,S3,2,P4S2-2,18°02.935,120°33.558,10,10,3.75,3.5,Clay,0.28,33.6,2.47
P4,S3,3,P4S2-3,18°02.936,120°33.564,10,10,3.75,3.5,Clay,0.21,34.9,2.52
P5,S1,1,P5S1-1,18°02.846,120°33.539,10,10,3.25,3.5,Clay,0.18,26.5,2.21
P5,S1,2,P5S1-2,18°02.845,120°33.558,10,10,3.25,3.5,Clay,0.18,36.4,2.24
P5,S1,3,P5S1-3,18°02.845,120°33.554,10,10,3.25,3.5,Clay,0.21,35.9,2.27
P5,S2,1,P5S2-1,18°02.537,120°33.555,10,10,3.05,3.23,Clay,0.22,35.6,2.22
P5,S2,2,P5S2-2,18°02.836,120°33.552,10,10,3.05,3.23,Clay,0.2,35.1,2.36
P5,S2,3,P5S2-3,18°02.834,120°33.550,10,10,3.05,3.23,Clay,0.15,34.9,2.37
P5,S3,1,P5S3-1,18°02.817,120°33.544,10,10,3.7,3.2,Clay,0.29,35.1,2.25
P5,S3,2,P5S3-2,18°02.818,120°33.541,10,10,3.7,3.2,Clay,0.21,34.9,2.52
P5,S3,3,P5S3-3,18°02.815,120°33.538,10,10,3.7,3.2,Clay,0.19,34.9,2.57
P7,S1,1,P7S1-1,18°02.788,120°33.845,10,10,3.5,3.5,Clay,0.13,34.8,2.09
P7,S1,2,P7S1-2,18°02.789,120°33.847,10,10,3.5,3.5,Clay,0.14,34.9,2.15
P7,S1,3,P7S1-3,18°02.791,120°33.849,10,10,3.5,3.5,Clay,0.09,35,2.07
P7,S2,1,P7S2-1,18°02.778,120°33.839,10,10,3.76,3.2,Clay,0.29,34.4,2.17
P7,S2,2,P7S2-2,18°02.776,120°33.842,10,10,3.76,3.2,Clay,0.16,33.6,2.17
P7,S2,3,P7S2-3,18°02.774,120°33.844,10,10,3.76,3.2,Clay,0.33,33.1,2.37
P7,S3,1,P7S3-1,18°02.761,120°33.837,10,10,4.85,3.4,Clay,0.24,33.9,2.3
P7,S3,2,P7S3-2,18°02.762,120°33.835,10,10,4.85,3.4,Clay,0.31,33.4,2.3
P7,S3,3,P7S3-3,18°02.756,120°33.827,10,10,4.85,3.4,Clay,0.39,31.4,2.15
P8,S1,1,P8S1-1,18°02.842,120°33.821,10,10,4.9,3.62,Clay,0.13,32.7,1.86
P8,S1,2,P8S1-2,18°02.844,120°33.818,10,10,4.9,3.62,Clay,0.12,33.1,1.79
P8,S1,3,P8S1-3,18°02.845,120°33.814,10,10,4.9,3.62,Clay,0.18,33.3,1.87
P8,S2,1,P8S2-1,18°02.807,120°33.805,10,10,3.92,3.75,Clay,0.46,32,1.73
P8,S2,2,P8S2-2,18°02.803,120°33.807,10,10,3.92,3.75,Clay,0.13,31.2,1.89
P8,S2,3,P8S2-3,18°02.803,120°33.802,10,10,3.92,3.75,Clay,0.16,31,2.2
P8,S3,1,P8S3-1,18°02.816,120°33.795,10,10,4,3.62,Clay,0.12,30.7,1.98
P8,S3,2,P8S3-2,18°02.819,120°33.794,10,10,4,3.62,Clay,0.13,30.8,2.15
P8,S3,3,P8S3-3,18°02.822,120°33.792,10,10,4,3.62,Clay,0.18,30.5,1.98
P9,S1,1,P9S1-1,18°02.765,120°33.947,10,10,6,3.24,Clay,0.09,29.3,2.42
P9,S1,2,P9S1-2,18°02.762,120°33.951,10,10,6,3.24,Clay,0.1,29.7,2.61
P9,S1,3,P9S1-3,18°02.760,120°33.953,10,10,6,3.24,Clay,0.09,30.8,2.57
P9,S2,1,P9S2-1,18°02.758,120°33.949,10,10,5.62,3.03,Clay,0.1,31.5,2.54
P9,S2,2,P9S2-2,18°02.757,120°33.945,10,10,5.62,3.03,Clay,0.1,31.6,2.51
P9,S2,3,P9S2-3,18°02.756,120°33.945,10,10,5.62,3.03,Clay,0.13,31.6,2.31
P9,S3,1,P9S3-1,18°02.767,120°33.948,10,10,4.67,3.07,Clay,0.12,32.1,2.26
P9,S3,2,P9S3-2,18°02.765,120°33.944,10,10,4.67,3.07,Clay,0.12,32.1,2.83
P9,S3,3,P9S3-3,18°02.766,120°33.941,10,10,4.67,3.07,Clay,0.09,32.1,2.62
P10,S1,1,P10S1-1,18°02.729,120°33.931,10,10,3.9,3.22,Clay,0.17,32.5,2.14
P10,S1,2,P10S1-2,18°02.728,120°33.928,10,10,3.9,3.22,Clay,0.19,31.9,2.26
P10,S1,3,P10S1-3,18°02.727,120°33.926,10,10,3.9,3.22,Clay,0.23,31.6,2.08
P10,S2,1,P10S2-1,18°02.718,120°33.929,10,10,3.59,3.15,Clay,0.16,31.8,2.11
P10,S2,2,P10S2-2,18°02.717,120°33.925,10,10,3.59,3.15,Clay,0.13,32.3,2.3
P10,S2,3,P10S2-3,18°02.715,120°33.923,10,10,3.59,3.15,Clay,0.1,32.1,2.23
P10,S3,1,P10S3-1,18°02.711,120°33.921,10,10,3.7,3.4,Clay,0.15,32.4,2.24
P10,S3,2,P10S3-2,18°02.710,120°33.919,10,10,3.7,3.4,Clay,0.21,31.9,2.27
P10,S3,3,P10S3-3,18°02.708,120°33.915,10,10,3.7,3.4,Clay,0.33,30.5,2.31
P11,S1,1,P11S1-1,18°02.714,120°33.874,10,10,4.22,3.96,Clay,0.18,33.6,2.05
P11,S1,2,P11S1-2,18°02.712,120°33.875,10,10,4.22,3.96,Clay,0.21,33.5,2.18
P11,S1,3,P11S1-3,18°02.708,120°33.877,10,10,4.22,3.96,Clay,0.18,33.5,2.25
P11,S2,1,P11S2-1,18°02.720,120°33.817,10,10,3.75,4,Clay,0.12,33.8,2.05
P11,S2,2,P11S2-2,18°02.720,120°33.866,10,10,3.75,4,Clay,0.12,33.5,2.15
P11,S2,3,P11S2-3,18°02.719,120°33.866,10,10,3.75,4,Clay,0.12,33.3,2.07
P11,S3,1,P11S3-1,18°02.726,120°33.867,10,10,4.29,3.57,Clay,0.13,34.1,1.9
P11,S3,2,P11S3-2,18°02.726,120°33.861,10,10,4.29,3.57,Clay,0.13,33.8,1.9
P11,S3,3,P11S3-3,18°02.723,120°33.856,10,10,4.29,3.57,Clay,0.13,33.8,2.18
P12,S1,1,P12S1-1,18°02.760,120°33.894,10,10,4.32,3.52,Clay,0.13,33.6,2.03
P12,S1,2,P12S1-2,18°02.765,120°33.892,10,10,4.32,3.52,Clay,0.16,33.3,2.23
P12,S1,3,P12S1-3,18°02.767,120°33.891,10,10,4.32,3.52,Clay,0.18,33,2.54
P12,S2,1,P12S2-1,18°02.769,120°33.902,10,10,4.56,3.42,Clay,0.16,32.9,2.6
P12,S2,2,P12S2-2,18°02.766,120°33.899,10,10,4.56,3.42,Clay,0.14,32.6,2.46
P12,S2,3,P12S2-3,18°02.763,120°33.900,10,10,4.56,3.42,Clay,0.23,32.9,2.58
P12,S3,1,P12S3-1,18°02.794,120°33.909,10,10,3.55,3.38,Clay,0.12,33.2,1.93
P12,S3,2,P12S3-2,18°02.791,120°33.906,10,10,3.55,3.38,Clay,0.19,33,2.05
P12,S3,3,P12S3-3,18°02.790,120°33.903,10,10,3.55,3.38,Clay,0.28,32.3,2.15
P14,S1,1,P14S1-1,18°02.247,120°33.582,10,10,4.4,4.02,Clay,0.1,31.9,2.05
P14,S1,2,P14S1-2,18°02.245,120°33.580,10,10,4.4,4.02,Clay,0.2,32.9,2.21
P14,S1,3,P14S1-3,18°02.242,120°33.578,10,10,4.4,4.02,Clay,0.08,33.2,2.8
P14,S2,1,P14S2-1,18°02.229,120°33.580,10,10,4.17,4.03,Clay,0.25,33,2.05
P14,S2,2,P14S2-2,18°02.232,120°33.575,10,10,4.17,4.03,Clay,0.1,33.5,2.19
P14,S2,3,P14S2-3,18°02.233,120°33.570,10,10,4.17,4.03,Clay,0.11,34.5,2.02
P14,S3,1,P14S3-1,18°02.252,120°33.552,10,10,4.27,3.92,Clay,0.12,34.3,1.99
P14,S3,2,P14S3-2,18°02.249,120°33.554,10,10,4.27,3.92,Clay,0.16,34.2,2.13
P14,S3,3,P14S3-3,18°02.246,120°33.557,10,10,4.27,3.92,Clay,0.18,34.2,2.11
P15,S1,1,P15S1-1,18°02.203,120°33.540,10,10,3.6,3.1,Clay,0.13,32.3,2.13
P15,S1,2,P15S1-2,18°02.199,120°33.541,10,10,3.6,3.1,Clay,0.16,32.3,2.39
P15,S1,3,P15S1-3,18°02.196,120°33.542,10,10,3.6,3.1,Clay,0.17,32.8,2.22
P15,S2,1,P15S2-1,18°02.198,120°33.557,10,10,4.56,3.8,Clay,0.08,32.5,2.02
P15,S2,2,P15S2-2,18°02.199,120°33.561,10,10,4.56,3.8,Clay,0.18,32.4,2.24
P15,S2,3,P15S2-3,18°02.201,120°33.563,10,10,4.56,3.8,Clay,0.17,32.3,2.15
P15,S3,1,P15S3-1,18°02.186,120°33.547,10,10,4.17,3.38,Clay,0.11,32.3,2.05
P15,S3,2,P15S3-2,18°02.191,120°33.545,10,10,4.17,3.38,Clay,0.15,32.9,2.17
P15,S3,3,P15S3-3,18°02.195,120°33.544,10,10,4.17,3.38,Clay,0.17,32.9,2.17
P16,S1,1,P16S1-1,18°02.185,120°33.453,10,10,3.53,5.8,Clay,0.25,32.5,2.06
P16,S1,2,P16S1-2,18°02.182,120°33.455,10,10,3.53,5.8,Clay,0.18,32.3,2.36
P16,S1,3,P16S1-3,18°02.180,120°33.461,10,10,3.53,5.8,Clay,0.27,31.5,2.42
P16,S2,1,P16S2-1,18°02.187,120°33.448,10,10,3.4,5.83,Clay,0.19,31.5,1.93
P16,S2,2,P16S2-2,18°02.184,120°33.447,10,10,3.4,5.83,Clay,0.12,31.4,2.38
P16,S2,3,P16S2-3,18°02.183,120°33.445,10,10,3.4,5.83,Clay,0.19,30.7,2.37
P16,S3,1,P16S3-1,18°02.186,120°33.441,10,10,3.45,5.6,Clay,0.12,30.6,2.09
P16,S3,2,P16S3-2,18°02.186,120°33.440,10,10,3.45,5.6,Clay,0.1,30.7,2.34
P16,S3,3,P16S3-3,18°02.184,120°33.439,10,10,3.45,5.6,Clay,0.21,30.9,2.28
P17,S1,1,P17S1-1,18°02.206,120°33.454,10,10,3.9,3.65,Clay,0.16,31.8,2.24
P17,S1,2,P17S1-2,18°02.208,120°33.457,10,10,3.9,3.65,Clay,0.08,31.4,1.6
P17,S1,3,P17S1-3,18°02.210,120°33.460,10,10,3.9,3.65,Clay,0.28,31.4,2.17
P17,S2,1,P17S2-1,18°02.207,120°33.453,10,10,3.95,3.84,Clay,0.13,31.2,1.76
P17,S2,2,P17S2-2,18°02.210,120°33.452,10,10,3.95,3.84,Clay,0.18,31.5,2.17
P17,S2,3,P17S2-3,18°02.213,120°33.450,10,10,3.95,3.84,Clay,0.14,31.2,1.59
P17,S3,1,P17S3-1,18°02.209,120°33.443,10,10,4.75,3.4,Clay,0.09,31,2.16
P17,S3,2,P17S3-2,18°02.212,120°33.439,10,10,4.75,3.4,Clay,0.07,30.9,2.36
P17,S3,3,P17S3-3,18°02.216,120°33.4440,10,10,4.75,3.4,Clay,0.15,30.9,2.15
